序号,传输类型,信封类型,信号名,方向,线上格式,载荷结构,字段约束,前置条件,成功响应,错误响应,状态副作用,兼容状态,权威来源,前端消费路径,解析规律,参数含义,风险等级,备注
291,websocket_text_json,QT_Return,SolveImageResult,hub_to_browser,"QT_Return.message = ""SolveImageResult:<segments...>""（部分消息 payload 含额外 ':' 需 join）","this.UpdateCirclePos(parts[1], parts[2]);","if (parts.length === 5) { // this.UpdateCirclePos(parts[1], parts[2]); console.log('Solve Image Result(RA_Degree, DEC_Degree, Azimuth, Altitude):', parts[1], ',', parts[2], ',', parts[3], ',', parts[4]); this.SendConsoleLogMsg('Solve Image Result(RA_Degree, DEC_Degree, Azimuth, Altitude):' + parts[1] + ',' + parts[2...",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,setParsingProgress,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> setParsingProgress,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SolveImageResult」。,"parts[0]: 与 Qt 约定的下行关键字「SolveImageResult」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：this.UpdateCirclePos(parts[1], parts[2]);。 代码摘要：if (parts.length === 5) { // this.UpdateCirclePos(parts[1], parts[2]); console.log('Solve Image Result(RA_Degree, DEC_Degree, Azimuth, Altitude):', parts[1], ',', parts[2], ',', parts[3], ',', parts[4]); this.SendConsoleLogMsg('Solve Ima...",high,
292,websocket_text_json,QT_Return,SolveFovResult,hub_to_browser,"QT_Return.message = ""SolveFovResult:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=SolveFovResult; 详见 App.vue case 分支,"if (parts.length === 9) { const RaDec = [ { Ra: parts[1], Dec: parts[2] }, { Ra: parts[3], Dec: parts[4] }, { Ra: parts[5], Dec: parts[6] }, { Ra: parts[7], Dec: parts[8] }, ]; this.SolveFovMark(RaDec); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SolveFovResult」。,"parts[0]: 与 Qt 约定的下行关键字「SolveFovResult」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 9) { const RaDec = [ { Ra: parts[1], Dec: parts[2] }, { Ra: parts[3], Dec: parts[4] }, { Ra: parts[5], Dec: parts[6] }, { Ra: parts[7], Dec: parts[8] }, ]; this.SolveFovMark(RaDec); } break;",high,
293,websocket_text_json,QT_Return,RealTimeSolveImageResult,hub_to_browser,"QT_Return.message = ""RealTimeSolveImageResult:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=RealTimeSolveImageResult; 详见 App.vue case 分支,"if (parts.length === 5) { console.log('Solve Image Result(RA_Degree, DEC_Degree, Azimuth, Altitude):', parts[1], ',', parts[2], ',', parts[3], ',', parts[4]); this.SendConsoleLogMsg('Solve Image Result(RA_Degree, DEC_Degree, Azimuth, Altitude):' + parts[1] + ',' + parts[2] + ',' + parts[3] + ',' + parts[4], 'info');...",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「RealTimeSolveImageResult」。,"parts[0]: 与 Qt 约定的下行关键字「RealTimeSolveImageResult」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 5) { console.log('Solve Image Result(RA_Degree, DEC_Degree, Azimuth, Altitude):', parts[1], ',', parts[2], ',', parts[3], ',', parts[4]); this.SendConsoleLogMsg('Solve Image Result(RA_Degree, DEC_Degree, Azimuth, Alt...",high,
294,websocket_text_json,QT_Return,SolveImageSucceeded,hub_to_browser,"QT_Return.message = ""SolveImageSucceeded:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=SolveImageSucceeded; 详见 App.vue case 分支,"console.log('解析同步成功'); this.$bus.$emit(""handleOperationComplete"", ""solve""); this.$bus.$emit('showMsgBox', 'Solve image succeed!', 'success'); break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,showMsgBox,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> showMsgBox,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SolveImageSucceeded」。,"parts[0]: 与 Qt 约定的下行关键字「SolveImageSucceeded」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：console.log('解析同步成功'); this.$bus.$emit(""handleOperationComplete"", ""solve""); this.$bus.$emit('showMsgBox', 'Solve image succeed!', 'success'); break;",high,
295,websocket_text_json,QT_Return,SolveImagefailed,hub_to_browser,"QT_Return.message = ""SolveImagefailed:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=SolveImagefailed; 详见 App.vue case 分支,"this.callShowMessageBox('Solve image faild...', 'error'); this.$bus.$emit(""ImageSolveFinished"", false); this.$bus.$emit('setParsingProgress', false); this.$bus.$emit('MountOperationComplete', 'solve'); break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,setParsingProgress|MountOperationComplete,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> setParsingProgress|MountOperationComplete,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SolveImagefailed」。,"parts[0]: 与 Qt 约定的下行关键字「SolveImagefailed」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：this.callShowMessageBox('Solve image faild...', 'error'); this.$bus.$emit(""ImageSolveFinished"", false); this.$bus.$emit('setParsingProgress', false); this.$bus.$emit('MountOperationComplete', 'solve'); break;",high,
296,websocket_text_json,QT_Return,FocalLengthError,hub_to_browser,"QT_Return.message = ""FocalLengthError:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=FocalLengthError; 详见 App.vue case 分支,"this.callShowMessageBox('焦距未设置，请先设置焦距后再进行解析同步', 'error'); this.$bus.$emit('MountOperationComplete', 'solve'); break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,MountOperationComplete,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> MountOperationComplete,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「FocalLengthError」。,"parts[0]: 与 Qt 约定的下行关键字「FocalLengthError」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：this.callShowMessageBox('焦距未设置，请先设置焦距后再进行解析同步', 'error'); this.$bus.$emit('MountOperationComplete', 'solve'); break;",normal,
297,websocket_text_json,QT_Return,MainCameraOffsetRange,hub_to_browser,"QT_Return.message = ""MainCameraOffsetRange:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=MainCameraOffsetRange; 详见 App.vue case 分支,"if (parts.length === 4) { console.log('MainCameraOffsetRange:', parts[1], ',', parts[2]); this.SendConsoleLogMsg('MainCameraOffsetRange:' + parts[1] + ',' + parts[2], 'info'); this.MainCameraOffsetMin = parts[1]; this.MainCameraOffsetMax = parts[2]; let MainCameraOffsetValue = parts[3]; const OffsetItem = this.MainC...",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MainCameraOffsetRange」。,"parts[0]: 与 Qt 约定的下行关键字「MainCameraOffsetRange」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 4) { console.log('MainCameraOffsetRange:', parts[1], ',', parts[2]); this.SendConsoleLogMsg('MainCameraOffsetRange:' + parts[1] + ',' + parts[2], 'info'); this.MainCameraOffsetMin = parts[1]; this.MainCameraOffsetMax...",normal,
298,websocket_text_json,QT_Return,GuiderOffsetRange,hub_to_browser,"QT_Return.message = ""GuiderOffsetRange:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=GuiderOffsetRange; 详见 App.vue case 分支,"if (parts.length === 4) { this.GuiderOffsetMin = parts[1]; this.GuiderOffsetMax = parts[2]; const guiderOffsetValue = parts[3]; const offsetItem = this.GuiderConfigItems.find(item => item.label === 'Offset'); if (offsetItem) { offsetItem.inputMin = parseInt(this.GuiderOffsetMin, 10); offsetItem.inputMax = parseInt(t...",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「GuiderOffsetRange」。,parts[0]: 与 Qt 约定的下行关键字「GuiderOffsetRange」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 4) { this.GuiderOffsetMin = parts[1]; this.GuiderOffsetMax = parts[2]; const guiderOffsetValue = parts[3]; const offsetItem = this.GuiderConfigItems.find(item => item.label === 'Offset'); if (offsetItem) { offsetItem...,high,
299,websocket_text_json,QT_Return,MainCameraUsbTrafficRange,hub_to_browser,"QT_Return.message = ""MainCameraUsbTrafficRange:<segments...>""（部分消息 payload 含额外 ':' 需 join）",MainCameraUsbTrafficRange:min:max:value:step(可选),"// MainCameraUsbTrafficRange:min:max:value:step(可选) if (parts.length >= 4) { const min = parseInt(parts[1], 10); const max = parseInt(parts[2], 10); const value = parseInt(parts[3], 10); const step = (parts.length >= 5) ? Math.max(1, parseInt(parts[4], 10) || 1) : 1; const usbItem = this.ensureMainCameraUsbTrafficIt...",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MainCameraUsbTrafficRange」。,"parts[0]: 与 Qt 约定的下行关键字「MainCameraUsbTrafficRange」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：MainCameraUsbTrafficRange:min:max:value:step(可选)。 代码摘要：// MainCameraUsbTrafficRange:min:max:value:step(可选) if (parts.length >= 4) { const min = parseInt(parts[1], 10); const max = parseInt(parts[2], 10); const value = parseInt(parts[3], 10); const step = (parts.length >= 5) ? Math.max(1, par...",normal,
300,websocket_text_json,QT_Return,MainCameraGainRange,hub_to_browser,"QT_Return.message = ""MainCameraGainRange:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=MainCameraGainRange; 详见 App.vue case 分支,"if (parts.length === 4) { console.log('MainCameraGainRange:', parts[1], ',', parts[2], ',', parts[3]); this.SendConsoleLogMsg('MainCameraGainRange:' + parts[1] + ',' + parts[2] + ',' + parts[3], 'info'); this.MainCameraGainMin = parts[1]; this.MainCameraGainMax = parts[2]; let MainCameraGainValue = parts[3]; const g...",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MainCameraGainRange」。,"parts[0]: 与 Qt 约定的下行关键字「MainCameraGainRange」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 4) { console.log('MainCameraGainRange:', parts[1], ',', parts[2], ',', parts[3]); this.SendConsoleLogMsg('MainCameraGainRange:' + parts[1] + ',' + parts[2] + ',' + parts[3], 'info'); this.MainCameraGainMin = parts[1]...",normal,
301,websocket_text_json,QT_Return,GuiderGainRange,hub_to_browser,"QT_Return.message = ""GuiderGainRange:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=GuiderGainRange; 详见 App.vue case 分支,"if (parts.length === 4) { this.GuiderGainMin = parts[1]; this.GuiderGainMax = parts[2]; const guiderGainValue = parts[3]; const gainItem = this.GuiderConfigItems.find(item => item.label === 'Gain'); if (gainItem) { gainItem.inputMin = parseInt(this.GuiderGainMin, 10); gainItem.inputMax = parseInt(this.GuiderGainMax,...",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「GuiderGainRange」。,parts[0]: 与 Qt 约定的下行关键字「GuiderGainRange」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 4) { this.GuiderGainMin = parts[1]; this.GuiderGainMax = parts[2]; const guiderGainValue = parts[3]; const gainItem = this.GuiderConfigItems.find(item => item.label === 'Gain'); if (gainItem) { gainItem.inputMin = pa...,high,
